0,1
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/a01/a01-030x/a01-030x-07-07.png,talks
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/k04/k04-110/k04-110-07-06.png,schemes
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/l04/l04-136/l04-136-01-00.png,cold-blooded
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/g03/g03-032/g03-032-00-06.png,sing
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/n03/n03-120/n03-120-04-00.png,of
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/d06/d06-072/d06-072-07-02.png,is
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/d04/d04-101/d04-101-03-04.png,the
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/n06/n06-111/n06-111-07-02.png,lay
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/e07/e07-079/e07-079-01-02.png,.
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/l07/l07-131/l07-131-04-00.png,portholes
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/d04/d04-016/d04-016-04-02.png,Shamir
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/j06/j06-034/j06-034-07-02.png,temperature
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/d06/d06-060/d06-060-03-03.png,fact
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/g06/g06-047j/g06-047j-08-01.png,in
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/m03/m03-033/m03-033-06-01.png,a
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/r06/r06-097/r06-097-04-03.png,the
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/k04/k04-142/k04-142-02-09.png,","
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/k03/k03-138/k03-138-01-10.png,.
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/g04/g04-032/g04-032-02-06.png,accompanist
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/h06/h06-003/h06-003-03-00.png,notifiable
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/g06/g06-042p/g06-042p-04-01.png,known
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/g01/g01-031/g01-031-04-08.png,and
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/a01/a01-058/a01-058-07-00.png,Germany
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/a06/a06-119/a06-119-06-00.png,week
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/k07/k07-085/k07-085-06-09.png,situation
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/m03/m03-033/m03-033-04-05.png,to
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/n02/n02-062/n02-062-06-02.png,a
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/h07/h07-033a/h07-033a-07-01.png,the
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/h01/h01-004/h01-004-02-05.png,not
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/d01/d01-024/d01-024-04-07.png,been
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/c03/c03-007c/c03-007c-07-08.png,the
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/l04/l04-106/l04-106-03-00.png,in
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/k07/k07-134/k07-134-05-04.png,Once
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/g06/g06-045i/g06-045i-02-02.png,give
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/a03/a03-073/a03-073-01-05.png,will
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/g06/g06-045j/g06-045j-07-05.png,aged
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/p03/p03-173/p03-173-07-04.png,","
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/l01/l01-129/l01-129-04-04.png,said
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/b06/b06-097/b06-097-07-01.png,up
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/g06/g06-050p/g06-050p-01-06.png,.
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/h07/h07-040b/h07-040b-02-00.png,the
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/r06/r06-070/r06-070-00-03.png,Lambretta
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/f07/f07-092b/f07-092b-04-01.png,the
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/c03/c03-094c/c03-094c-01-01.png,","
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/a05/a05-116/a05-116-06-06.png,told
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/h07/h07-000/h07-000-00-05.png,of
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/b02/b02-035/b02-035-05-05.png,say
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/m03/m03-062/m03-062-03-06.png,have
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/e04/e04-026/e04-026-04-00.png,of
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/e01/e01-102/e01-102-00-03.png,plays
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/k02/k02-036/k02-036-04-08.png,so
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/m02/m02-052/m02-052-03-06.png,regarded
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/n04/n04-060/n04-060-03-06.png,Navy
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/c04/c04-075/c04-075-04-11.png,strike
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/n02/n02-157/n02-157-04-04.png,sunken
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/e04/e04-030/e04-030-06-06.png,older
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/n06/n06-148/n06-148-00-02.png,several
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/c02/c02-059/c02-059-04-02.png,Wicki
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/e04/e04-109/e04-109-05-08.png,.
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/k02/k02-112/k02-112-01-07.png,","
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/b04/b04-128/b04-128-02-02.png,staid
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/a01/a01-091u/a01-091u-09-01.png,supporters
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/g06/g06-101/g06-101-05-04.png,should
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/f04/f04-061/f04-061-07-05.png,Tunnel
/home/dom/ml-project-2-syc-group/data/iam_dataset/words/r03/r03-026/r03-026-10-09.png,and
